,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
30,5SyQ5OhqrkJGb35V7RBoL0,All I Want (For Christmas),The Plastic Ono Band,0.65,0.934,5,-4.209,1,0.0474,0.116,0.0,0.867,0.737,105.001,audio_features,spotify:track:5SyQ5OhqrkJGb35V7RBoL0,https://api.spotify.com/v1/tracks/5SyQ5OhqrkJGb35V7RBoL0,https://api.spotify.com/v1/audio-analysis/5SyQ5OhqrkJGb35V7RBoL0,252200,4
31,2QpN1ZVw8eJO5f7WcvUA1k,My Kind Of Present,Pretenders,0.692,0.762,0,-4.867,1,0.0342,0.424,1.27e-05,0.181,0.961,146.673,audio_features,spotify:track:2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/tracks/2QpN1ZVw8eJO5f7WcvUA1k,https://api.spotify.com/v1/audio-analysis/2QpN1ZVw8eJO5f7WcvUA1k,144013,4
32,3nAp4IvdMPPWEH9uuXFFV5,"Oh Holy Night - Recorded at Metropolis Studios, London",Frank Sinatra,0.509,0.812,8,-5.438,1,0.0537,0.0013,1.99e-05,0.214,0.689,159.876,audio_features,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,https://api.spotify.com/v1/tracks/3nAp4IvdMPPWEH9uuXFFV5,https://api.spotify.com/v1/audio-analysis/3nAp4IvdMPPWEH9uuXFFV5,229640,4
33,2L9QLAhrvtP4EYg1lY0Tnw,Jingle Bells,Becky G,0.478,0.201,7,-16.768,1,0.0332,0.919,0.0,0.0854,0.857,136.471,audio_features,spotify:track:2L9QLAhrvtP4EYg1lY0Tnw,https://api.spotify.com/v1/tracks/2L9QLAhrvtP4EYg1lY0Tnw,https://api.spotify.com/v1/audio-analysis/2L9QLAhrvtP4EYg1lY0Tnw,135760,4
34,5hslUAKq9I9CG2bAulFkHN,Feliz Navidad,James TW,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,audio_features,spotify:track:5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,151933,3
35,4uQqahi1iUP35xE2qGdKdo,Happy Xmas (War Is Over) - Remastered 2010,for KING & COUNTRY,0.499,0.304,0,-11.541,1,0.0633,0.81,0.0,0.0546,0.521,129.301,audio_features,spotify:track:4uQqahi1iUP35xE2qGdKdo,https://api.spotify.com/v1/tracks/4uQqahi1iUP35xE2qGdKdo,https://api.spotify.com/v1/audio-analysis/4uQqahi1iUP35xE2qGdKdo,143027,4
36,2pXpURmn6zC5ZYDMms6fwa,Santa Baby - Bonus,Kacey Musgraves,0.724,0.276,7,-12.25,1,0.0599,0.76,0.0,0.116,0.718,112.874,audio_features,spotify:track:2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/tracks/2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/audio-analysis/2pXpURmn6zC5ZYDMms6fwa,155933,4
37,0PhwkzKlhXvSbStP34MbGv,Blue Christmas,José Feliciano,0.566,0.395,3,-9.192,1,0.0338,0.725,0.0,0.111,0.556,87.03,audio_features,spotify:track:0PhwkzKlhXvSbStP34MbGv,https://api.spotify.com/v1/tracks/0PhwkzKlhXvSbStP34MbGv,https://api.spotify.com/v1/audio-analysis/0PhwkzKlhXvSbStP34MbGv,212973,4
38,5DHfUmmnlFJPqa9MnKe0EX,Christmas Tree Farm,John Scott Trotter & His Orchestra,0.341,0.761,8,-7.116,1,0.0507,0.39,0.000416,0.0892,0.348,126.312,audio_features,spotify:track:5DHfUmmnlFJPqa9MnKe0EX,https://api.spotify.com/v1/tracks/5DHfUmmnlFJPqa9MnKe0EX,https://api.spotify.com/v1/audio-analysis/5DHfUmmnlFJPqa9MnKe0EX,166453,4
39,1eh5mDCjo7XbDNY5tYiNVU,Shake up Christmas,Elvis Presley,0.574,0.519,7,-10.771,1,0.0252,0.163,0.0,0.0407,0.414,144.012,audio_features,spotify:track:1eh5mDCjo7XbDNY5tYiNVU,https://api.spotify.com/v1/tracks/1eh5mDCjo7XbDNY5tYiNVU,https://api.spotify.com/v1/audio-analysis/1eh5mDCjo7XbDNY5tYiNVU,255173,4
40,0YWUHZPJVg4iujddsJDwhM,Please Come Home for Christmas - 2013 Remaster,Wizzard,0.669,0.843,0,-3.766,1,0.0268,0.169,0.0,0.195,0.702,147.08,audio_features,spotify:track:0YWUHZPJVg4iujddsJDwhM,https://api.spotify.com/v1/tracks/0YWUHZPJVg4iujddsJDwhM,https://api.spotify.com/v1/audio-analysis/0YWUHZPJVg4iujddsJDwhM,255400,4
41,78pn8k7RogKo2oxl0DyX6d,Wonderful Christmastime (Edited Version) [Remastered],Jordan Smith,0.638,0.813,11,-3.849,1,0.0362,0.464,0.0,0.344,0.754,112.986,audio_features,spotify:track:78pn8k7RogKo2oxl0DyX6d,https://api.spotify.com/v1/tracks/78pn8k7RogKo2oxl0DyX6d,https://api.spotify.com/v1/audio-analysis/78pn8k7RogKo2oxl0DyX6d,239587,4
42,7inXu0Eaeg02VsM8kHNvzM,Step Into Christmas,Andy Williams,0.603,0.321,2,-11.489,1,0.0599,0.881,0.0,0.34,0.844,143.104,audio_features,spotify:track:7inXu0Eaeg02VsM8kHNvzM,https://api.spotify.com/v1/tracks/7inXu0Eaeg02VsM8kHNvzM,https://api.spotify.com/v1/audio-analysis/7inXu0Eaeg02VsM8kHNvzM,155600,4
43,0YupMLYOYz6lZDbN3kRt7A,2000 Miles - 2007 Remaster,Michael Bublé,0.557,0.366,2,-7.744,1,0.0255,0.271,9.16e-06,0.104,0.304,84.829,audio_features,spotify:track:0YupMLYOYz6lZDbN3kRt7A,https://api.spotify.com/v1/tracks/0YupMLYOYz6lZDbN3kRt7A,https://api.spotify.com/v1/audio-analysis/0YupMLYOYz6lZDbN3kRt7A,219720,4
