Track name, Artist name, Album, Playlist name, Type, ISRC
Savage Love - Acoustic Cover,Emily Hall,Savage Love (Acoustic Cover),Hit Acoustique,Playlist track,DKUM72000374
Before You Go - Guitar Acoustic,Lewis Capaldi,Before You Go EP,Hit Acoustique,Playlist track,DEUM72000017
Beautiful Scars (Maximillian x Moira Dela Torre) - Acoustic,Maximillian,Beautiful Scars (Maximillian x Moira Dela Torre) [Acoustic],Hit Acoustique,Playlist track,DKUM72000908
Be Honest (feat. Burna Boy) (acoustic),Jorja Smith,Be Honest (feat. Burna Boy) (acoustic),Hit Acoustique,Playlist track,QMBZ91933230
Evidemment - Version Acoustique,Kendji Girac,Mi Vida,Hit Acoustique,Playlist track,FRUM72001682
Power Over Me - Acoustic,Dermot Kennedy,Power Over Me,Hit Acoustique,Playlist track,USUG11802831
Dance Monkey,Roses & Frey,Dance Monkey,Hit Acoustique,Playlist track,SE5IB1901440
Veneno,J Balvin,Energía,Titres sauvegardés,Playlist track,USUM71604776
Pierde Los Modales,J Balvin,Energía,Titres sauvegardés,Playlist track,USUM71604781
No Hay Título,J Balvin,Energía,Titres sauvegardés,Playlist track,USUM71604783
Acércate,J Balvin,Energía,Titres sauvegardés,Playlist track,USUM71604784
Comme dab,Vitaa,J4M,Titres sauvegardés,Playlist track,FR8FB1800110
